County,Year,Population
Monroe,2022,"750,469"
Monroe,2023,"748,957"
Monroe,2024,"750,294"
Montgomery,1990,"52,036"
Montgomery,1991,"51,896"
Montgomery,1992,"51,928"
Montgomery,1993,"51,807"
Montgomery,1994,"51,752"
Montgomery,1995,"51,649"
Montgomery,1996,"51,305"
Montgomery,1997,"50,798"
Montgomery,1998,"50,321"
Montgomery,1999,"49,918"
Montgomery,2000,"49,605"
Montgomery,2001,"49,472"
Montgomery,2002,"49,298"
Montgomery,2003,"49,449"
Montgomery,2004,"49,460"
Montgomery,2005,"49,505"
Montgomery,2006,"49,724"
Montgomery,2007,"49,798"
Montgomery,2008,"49,951"
Montgomery,2009,"50,001"
Montgomery,2010,"50,320"
Montgomery,2011,"49,957"
Montgomery,2012,"49,905"
Montgomery,2013,"49,853"
Montgomery,2014,"49,819"
Montgomery,2015,"49,737"
Montgomery,2016,"49,433"
Montgomery,2017,"49,425"
Montgomery,2018,"49,754"
Montgomery,2019,"49,638"
Montgomery,2020,"49,499"
Montgomery,2021,"49,512"
Montgomery,2022,"49,454"
Montgomery,2023,"49,531"
Montgomery,2024,"49,580"
Nassau,1990,"1,286,905"
Nassau,1991,"1,293,072"
Nassau,1992,"1,299,575"
Nassau,1993,"1,304,543"
Nassau,1994,"1,308,489"
Nassau,1995,"1,312,950"
Nassau,1996,"1,315,799"
Nassau,1997,"1,318,211"
Nassau,1998,"1,322,950"
Nassau,1999,"1,330,815"
Nassau,2000,"1,336,713"
Nassau,2001,"1,337,086"
Nassau,2002,"1,339,572"
Nassau,2003,"1,339,761"
Nassau,2004,"1,337,964"
Nassau,2005,"1,332,318"
Nassau,2006,"1,324,905"
Nassau,2007,"1,322,048"
Nassau,2008,"1,325,129"
Nassau,2009,"1,332,088"
Nassau,2010,"1,342,694"
Nassau,2011,"1,351,478"
Nassau,2012,"1,359,255"
Nassau,2013,"1,366,077"
Nassau,2014,"1,372,792"
Nassau,2015,"1,377,148"
Nassau,2016,"1,382,459"
Nassau,2017,"1,387,871"
Nassau,2018,"1,392,254"
Nassau,2019,"1,395,123"
Nassau,2020,"1,390,952"
Nassau,2021,"1,391,787"
Nassau,2022,"1,388,346"
Nassau,2023,"1,388,940"
Nassau,2024,"1,397,783"
New York,1990,"1,487,073"
New York,1991,"1,483,644"
New York,1992,"1,485,877"
New York,1993,"1,493,582"
New York,1994,"1,503,909"
New York,1995,"1,514,184"
New York,1996,"1,521,415"
New York,1997,"1,527,384"
New York,1998,"1,531,067"
New York,1999,"1,535,624"
New York,2000,"1,540,547"
New York,2001,"1,555,729"
New York,2002,"1,555,382"
New York,2003,"1,562,154"
New York,2004,"1,569,947"
New York,2005,"1,573,573"
New York,2006,"1,578,171"
New York,2007,"1,581,402"
New York,2008,"1,587,022"
New York,2009,"1,583,431"
New York,2010,"1,590,931"
New York,2011,"1,618,186"
New York,2012,"1,641,641"
New York,2013,"1,653,028"
New York,2014,"1,663,961"
New York,2015,"1,677,134"
New York,2016,"1,684,128"
New York,2017,"1,687,323"
New York,2018,"1,694,959"
New York,2019,"1,702,471"
New York,2020,"1,687,033"
New York,2021,"1,569,781"
New York,2022,"1,593,919"
New York,2023,"1,631,534"
New York,2024,"1,665,510"
Niagara,1990,"221,163"
Niagara,1991,"221,712"
Niagara,1992,"221,952"
Niagara,1993,"222,993"
Niagara,1994,"223,400"
Niagara,1995,"223,958"
Niagara,1996,"223,792"
Niagara,1997,"223,135"
Niagara,1998,"221,884"
Niagara,1999,"220,556"
Niagara,2000,"219,620"
Niagara,2001,"218,552"
Niagara,2002,"218,127"
Niagara,2003,"218,072"
Niagara,2004,"217,737"
Niagara,2005,"216,818"
Niagara,2006,"216,148"
Niagara,2007,"215,791"
Niagara,2008,"215,793"
Niagara,2009,"216,043"
Niagara,2010,"216,570"
Niagara,2011,"216,209"
Niagara,2012,"215,596"
Niagara,2013,"215,384"
Niagara,2014,"214,977"
Niagara,2015,"214,424"
Niagara,2016,"213,976"
Niagara,2017,"213,719"
Niagara,2018,"213,495"
Niagara,2019,"213,145"
Niagara,2020,"212,118"
Niagara,2021,"211,778"
Niagara,2022,"210,403"
Niagara,2023,"209,451"
Niagara,2024,"209,380"
Oneida,1990,"251,191"
Oneida,1991,"253,064"
Oneida,1992,"253,819"
Oneida,1993,"252,682"
Oneida,1994,"250,964"
Oneida,1995,"244,736"
Oneida,1996,"239,246"
Oneida,1997,"236,863"
Oneida,1998,"235,710"
Oneida,1999,"235,412"
Oneida,2000,"235,146"
Oneida,2001,"234,247"
Oneida,2002,"234,078"
Oneida,2003,"234,243"
Oneida,2004,"234,654"
Oneida,2005,"234,282"
Oneida,2006,"234,229"
Oneida,2007,"234,488"
Oneida,2008,"234,482"
Oneida,2009,"234,619"
Oneida,2010,"234,862"
Oneida,2011,"234,778"
Oneida,2012,"234,772"
Oneida,2013,"234,805"
Oneida,2014,"234,511"
Oneida,2015,"233,632"
Oneida,2016,"233,132"
Oneida,2017,"233,181"
Oneida,2018,"233,073"
Oneida,2019,"232,323"
Oneida,2020,"231,265"
Oneida,2021,"229,229"
Oneida,2022,"228,351"
Oneida,2023,"227,555"
Oneida,2024,"227,292"
Onondaga,1990,"469,903"
Onondaga,1991,"472,463"
Onondaga,1992,"473,971"
Onondaga,1993,"474,922"
Onondaga,1994,"472,692"
Onondaga,1995,"470,235"
Onondaga,1996,"466,614"
Onondaga,1997,"462,438"
Onondaga,1998,"459,882"
Onondaga,1999,"458,575"
Onondaga,2000,"458,034"
Onondaga,2001,"458,576"
Onondaga,2002,"459,484"
Onondaga,2003,"460,961"
Onondaga,2004,"461,412"
Onondaga,2005,"460,910"
Onondaga,2006,"460,925"
Onondaga,2007,"461,287"
Onondaga,2008,"463,472"
Onondaga,2009,"465,633"
Onondaga,2010,"467,963"
Onondaga,2011,"469,756"
Onondaga,2012,"470,883"
Onondaga,2013,"473,710"
Onondaga,2014,"474,543"
Onondaga,2015,"475,053"
Onondaga,2016,"474,540"
Onondaga,2017,"473,907"
Onondaga,2018,"475,617"
Onondaga,2019,"476,259"
Onondaga,2020,"475,429"
Onondaga,2021,"471,829"
Onondaga,2022,"469,910"
Onondaga,2023,"468,524"
Onondaga,2024,"468,173"
Ontario,1990,"95,352"
Ontario,1991,"96,514"
Ontario,1992,"97,623"
Ontario,1993,"98,327"
Ontario,1994,"98,509"
Ontario,1995,"98,816"
Ontario,1996,"99,509"
Ontario,1997,"99,693"
Ontario,1998,"99,603"
Ontario,1999,"99,802"
Ontario,2000,"100,106"
Ontario,2001,"100,819"
Ontario,2002,"101,763"
Ontario,2003,"102,625"
Ontario,2004,"103,385"
Ontario,2005,"104,259"
Ontario,2006,"104,644"
Ontario,2007,"105,216"
Ontario,2008,"106,302"
Ontario,2009,"107,214"
Ontario,2010,"108,242"
Ontario,2011,"108,909"
Ontario,2012,"109,169"
Ontario,2013,"109,843"
Ontario,2014,"110,374"
Ontario,2015,"110,555"
Ontario,2016,"110,814"
Ontario,2017,"111,351"
Ontario,2018,"111,896"
Ontario,2019,"112,153"
Ontario,2020,"112,467"
Ontario,2021,"112,698"
Ontario,2022,"112,499"
Ontario,2023,"112,374"
Ontario,2024,"112,733"
Orange,1990,"308,803"
Orange,1991,"312,038"
Orange,1992,"315,957"
Orange,1993,"318,999"
Orange,1994,"320,744"
Orange,1995,"323,451"
Orange,1996,"326,000"
Orange,1997,"328,860"
Orange,1998,"332,199"
Orange,1999,"336,630"
Orange,2000,"342,892"
Orange,2001,"347,674"
Orange,2002,"352,975"
Orange,2003,"358,727"
Orange,2004,"362,934"
Orange,2005,"364,522"
Orange,2006,"366,908"
Orange,2007,"368,464"
Orange,2008,"370,201"
Orange,2009,"372,079"
Orange,2010,"373,849"
Orange,2011,"376,163"
Orange,2012,"377,386"
Orange,2013,"379,602"
Orange,2014,"381,725"
Orange,2015,"384,285"
Orange,2016,"387,868"
Orange,2017,"391,464"
Orange,2018,"395,573"
Orange,2019,"399,706"
Orange,2020,"400,973"
Orange,2021,"405,133"
Orange,2022,"407,314"
Orange,2023,"410,179"
Orange,2024,"415,088"
Orleans,1990,"41,970"
Orleans,1991,"42,432"
Orleans,1992,"43,674"
Orleans,1993,"43,850"
Orleans,1994,"44,345"
Orleans,1995,"44,524"
Orleans,1996,"44,435"
Orleans,1997,"44,172"
Orleans,1998,"44,167"
Orleans,1999,"44,183"
Orleans,2000,"44,178"
Orleans,2001,"43,898"
Orleans,2002,"43,660"
Orleans,2003,"43,593"
Orleans,2004,"43,682"
Orleans,2005,"43,475"
Orleans,2006,"43,420"
Orleans,2007,"43,342"
Orleans,2008,"43,254"
Orleans,2009,"42,975"
Orleans,2010,"42,856"
Orleans,2011,"42,683"
Orleans,2012,"42,450"
Orleans,2013,"42,313"
Orleans,2014,"41,968"
Orleans,2015,"41,610"
Orleans,2016,"41,422"
Orleans,2017,"40,991"
Orleans,2018,"40,910"
Orleans,2019,"40,577"
Orleans,2020,"40,047"
Orleans,2021,"39,783"
Orleans,2022,"39,510"
Orleans,2023,"39,567"
Orleans,2024,"39,886"
Oswego,1990,"122,302"
Oswego,1991,"123,134"
Oswego,1992,"123,857"
Oswego,1993,"124,802"
Oswego,1994,"124,319"
Oswego,1995,"123,972"
Oswego,1996,"123,619"
Oswego,1997,"123,237"
Oswego,1998,"122,153"
Oswego,1999,"122,199"
Oswego,2000,"122,477"
Oswego,2001,"122,269"
Oswego,2002,"122,496"
Oswego,2003,"123,120"
Oswego,2004,"123,340"
Oswego,2005,"122,640"
Oswego,2006,"122,354"
Oswego,2007,"122,213"
Oswego,2008,"122,366"
Oswego,2009,"122,055"
Oswego,2010,"122,165"
Oswego,2011,"122,109"
Oswego,2012,"121,689"
Oswego,2013,"121,504"
Oswego,2014,"121,026"
Oswego,2015,"120,276"
Oswego,2016,"119,517"
Oswego,2017,"119,152"
Oswego,2018,"118,325"
Oswego,2019,"117,837"
Oswego,2020,"117,437"
Oswego,2021,"118,057"
Oswego,2022,"118,150"
Oswego,2023,"117,939"
Oswego,2024,"118,182"
Otsego,1990,"60,518"
Otsego,1991,"60,729"
Otsego,1992,"61,195"
Otsego,1993,"61,537"
Otsego,1994,"61,916"
Otsego,1995,"61,671"
Otsego,1996,"61,584"
Otsego,1997,"61,371"
Otsego,1998,"61,379"
Otsego,1999,"61,629"
Otsego,2000,"61,860"
Otsego,2001,"61,924"
Otsego,2002,"62,093"
Otsego,2003,"62,567"
Otsego,2004,"62,934"
Otsego,2005,"63,069"
Otsego,2006,"63,032"
Otsego,2007,"62,914"
Otsego,2008,"62,561"
Otsego,2009,"62,280"
Otsego,2010,"62,251"
Otsego,2011,"61,933"
Otsego,2012,"61,681"
Otsego,2013,"61,519"
Otsego,2014,"60,818"
Otsego,2015,"60,333"
Otsego,2016,"59,907"
Otsego,2017,"59,690"
Otsego,2018,"59,527"
Otsego,2019,"59,010"
Otsego,2020,"58,389"
Otsego,2021,"60,737"
Otsego,2022,"60,447"
Otsego,2023,"60,581"
Otsego,2024,"60,634"
Putnam,1990,"84,222"
Putnam,1991,"85,488"
Putnam,1992,"86,828"
Putnam,1993,"87,948"
Putnam,1994,"88,964"
Putnam,1995,"89,969"
Putnam,1996,"90,768"
Putnam,1997,"92,139"
Putnam,1998,"93,301"
Putnam,1999,"94,647"
Putnam,2000,"96,049"
Putnam,2001,"97,055"
Putnam,2002,"98,263"
Putnam,2003,"98,964"
Putnam,2004,"99,468"
Putnam,2005,"99,575"
Putnam,2006,"99,357"
Putnam,2007,"99,454"
Putnam,2008,"99,537"
Putnam,2009,"99,666"
Putnam,2010,"99,622"
Putnam,2011,"99,692"
Putnam,2012,"99,395"
Putnam,2013,"99,250"
Putnam,2014,"99,020"
Putnam,2015,"98,681"
Putnam,2016,"98,185"
Putnam,2017,"98,241"
Putnam,2018,"98,120"
Putnam,2019,"97,669"
Putnam,2020,"97,636"
Putnam,2021,"98,272"
Putnam,2022,"98,361"
Putnam,2023,"98,110"
Putnam,2024,"98,842"
Queens,1990,"1,957,281"
Queens,1991,"1,975,556"
Queens,1992,"1,996,512"
Queens,1993,"2,023,400"
Queens,1994,"2,047,884"
Queens,1995,"2,074,581"
Queens,1996,"2,105,520"
Queens,1997,"2,138,503"
Queens,1998,"2,174,983"
Queens,1999,"2,208,975"
Queens,2000,"2,230,501"
Queens,2001,"2,231,316"
Queens,2002,"2,224,507"
Queens,2003,"2,214,608"
Queens,2004,"2,198,516"
Queens,2005,"2,185,222"
Queens,2006,"2,173,862"
Queens,2007,"2,177,351"
Queens,2008,"2,193,623"
Queens,2009,"2,217,166"
Queens,2010,"2,238,813"
Queens,2011,"2,276,504"
Queens,2012,"2,310,213"
Queens,2013,"2,342,084"
Queens,2014,"2,370,533"
Queens,2015,"2,394,554"
Queens,2016,"2,412,601"
Queens,2017,"2,418,581"
Queens,2018,"2,415,645"
Queens,2019,"2,411,304"
Queens,2020,"2,385,541"
Queens,2021,"2,328,520"
Queens,2022,"2,291,363"
Queens,2023,"2,314,747"
Queens,2024,"2,367,034"
Rensselaer,1990,"154,680"
Rensselaer,1991,"155,039"
Rensselaer,1992,"156,266"
Rensselaer,1993,"156,232"
Rensselaer,1994,"155,520"
Rensselaer,1995,"154,969"
Rensselaer,1996,"154,928"
Rensselaer,1997,"153,653"
Rensselaer,1998,"153,085"
Rensselaer,1999,"152,392"
Rensselaer,2000,"152,684"
Rensselaer,2001,"152,700"
Rensselaer,2002,"153,040"
Rensselaer,2003,"154,201"
Rensselaer,2004,"155,523"
Rensselaer,2005,"156,104"
Rensselaer,2006,"157,312"
Rensselaer,2007,"158,243"
Rensselaer,2008,"159,011"
Rensselaer,2009,"159,150"
Rensselaer,2010,"159,411"
Rensselaer,2011,"159,948"
Rensselaer,2012,"160,083"
Rensselaer,2013,"160,480"
Rensselaer,2014,"160,884"
Rensselaer,2015,"160,851"
Rensselaer,2016,"161,024"
Rensselaer,2017,"161,201"
Rensselaer,2018,"161,713"
Rensselaer,2019,"161,516"
Rensselaer,2020,"160,889"
Rensselaer,2021,"160,634"
Rensselaer,2022,"159,213"
Rensselaer,2023,"159,605"
Rensselaer,2024,"160,014"
Richmond,1990,"380,564"
Richmond,1991,"387,948"
Richmond,1992,"395,643"
Richmond,1993,"402,590"
Richmond,1994,"406,208"
Richmond,1995,"409,600"
Richmond,1996,"414,481"
Richmond,1997,"420,725"
Richmond,1998,"428,952"
Richmond,1999,"437,814"
Richmond,2000,"445,235"
Richmond,2001,"448,961"
Richmond,2002,"452,813"
Richmond,2003,"455,939"
Richmond,2004,"456,846"
Richmond,2005,"457,028"
Richmond,2006,"457,577"
Richmond,2007,"459,642"
Richmond,2008,"463,701"
Richmond,2009,"466,965"
Richmond,2010,"470,102"
Richmond,2011,"473,499"
Richmond,2012,"475,075"
Richmond,2013,"478,250"
Richmond,2014,"480,354"
Richmond,2015,"482,745"
Richmond,2016,"486,598"
Richmond,2017,"490,246"
Richmond,2018,"492,946"
Richmond,2019,"494,545"
Richmond,2020,"495,122"
Richmond,2021,"494,101"
Richmond,2022,"492,579"
Richmond,2023,"495,182"
Richmond,2024,"499,572"
Rockland,1990,"265,981"
Rockland,1991,"267,800"
Rockland,1992,"269,753"
Rockland,1993,"272,523"
Rockland,1994,"274,855"
Rockland,1995,"276,649"
Rockland,1996,"277,714"
Rockland,1997,"279,082"
Rockland,1998,"282,044"
Rockland,1999,"285,265"
Rockland,2000,"287,720"
Rockland,2001,"290,613"
Rockland,2002,"293,728"
Rockland,2003,"296,224"
Rockland,2004,"297,562"
Rockland,2005,"298,737"
Rockland,2006,"299,390"
Rockland,2007,"301,668"
Rockland,2008,"305,413"
Rockland,2009,"308,652"
Rockland,2010,"312,793"
Rockland,2011,"316,930"
Rockland,2012,"319,873"
Rockland,2013,"323,148"
Rockland,2014,"326,165"
Rockland,2015,"329,169"
Rockland,2016,"330,652"
Rockland,2017,"333,207"
Rockland,2018,"335,450"
Rockland,2019,"337,332"
Rockland,2020,"337,429"
Rockland,2021,"339,874"
Rockland,2022,"342,154"
Rockland,2023,"346,437"
Rockland,2024,"354,829"
Saratoga,1990,"182,259"
Saratoga,1991,"184,633"
Saratoga,1992,"187,445"
Saratoga,1993,"189,404"
Saratoga,1994,"191,966"
Saratoga,1995,"193,253"
Saratoga,1996,"193,937"
Saratoga,1997,"194,757"
Saratoga,1998,"196,513"
Saratoga,1999,"198,641"
Saratoga,2000,"201,514"
Saratoga,2001,"203,974"
Saratoga,2002,"206,446"
Saratoga,2003,"209,410"
Saratoga,2004,"211,478"
Saratoga,2005,"212,975"
Saratoga,2006,"214,627"
Saratoga,2007,"215,798"
Saratoga,2008,"217,282"
Saratoga,2009,"218,652"
Saratoga,2010,"220,255"
Saratoga,2011,"221,795"
Saratoga,2012,"223,715"
Saratoga,2013,"225,867"
Saratoga,2014,"226,849"
Saratoga,2015,"228,953"
Saratoga,2016,"230,489"
Saratoga,2017,"233,142"
Saratoga,2018,"234,483"
Saratoga,2019,"234,518"
Saratoga,2020,"235,815"
Saratoga,2021,"237,939"
Saratoga,2022,"238,523"
Saratoga,2023,"238,699"
Saratoga,2024,"239,834"
Schenectady,1990,"149,519"
Schenectady,1991,"150,616"
Schenectady,1992,"151,002"
Schenectady,1993,"150,979"
Schenectady,1994,"150,713"
Schenectady,1995,"150,355"
Schenectady,1996,"149,351"
Schenectady,1997,"148,557"
Schenectady,1998,"147,738"
Schenectady,1999,"146,857"
Schenectady,2000,"146,581"
Schenectady,2001,"146,334"
Schenectady,2002,"147,199"
Schenectady,2003,"147,891"
Schenectady,2004,"148,900"
Schenectady,2005,"150,200"
Schenectady,2006,"151,768"
Schenectady,2007,"152,275"
Schenectady,2008,"153,360"
Schenectady,2009,"154,050"
Schenectady,2010,"154,931"
Schenectady,2011,"155,205"
Schenectady,2012,"155,626"
Schenectady,2013,"155,819"
Schenectady,2014,"156,148"
Schenectady,2015,"156,130"
Schenectady,2016,"156,089"
Schenectady,2017,"156,591"
Schenectady,2018,"157,467"
Schenectady,2019,"157,939"
Schenectady,2020,"157,874"
Schenectady,2021,"159,796"
Schenectady,2022,"159,790"
Schenectady,2023,"160,129"
Schenectady,2024,"161,747"
Schoharie,1990,"31,938"
Schoharie,1991,"32,454"
Schoharie,1992,"32,659"
Schoharie,1993,"32,605"
Schoharie,1994,"32,356"
Schoharie,1995,"32,137"
Schoharie,1996,"32,111"
Schoharie,1997,"31,557"
Schoharie,1998,"31,279"
Schoharie,1999,"31,537"
Schoharie,2000,"31,514"
Schoharie,2001,"31,794"
Schoharie,2002,"31,785"
Schoharie,2003,"32,032"
Schoharie,2004,"32,310"
Schoharie,2005,"32,534"
Schoharie,2006,"32,661"
Schoharie,2007,"32,894"
Schoharie,2008,"32,890"
Schoharie,2009,"32,776"
Schoharie,2010,"32,649"
Schoharie,2011,"32,444"
Schoharie,2012,"31,724"
Schoharie,2013,"31,447"
Schoharie,2014,"31,173"
Schoharie,2015,"30,674"
Schoharie,2016,"30,443"
Schoharie,2017,"30,246"
Schoharie,2018,"30,028"
Schoharie,2019,"29,758"
Schoharie,2020,"29,758"
Schoharie,2021,"30,147"
Schoharie,2022,"30,059"
Schoharie,2023,"30,140"
Schoharie,2024,"30,235"
Schuyler,1990,"18,705"
Schuyler,1991,"18,820"
Schuyler,1992,"18,907"
Schuyler,1993,"18,965"
Schuyler,1994,"18,973"
Schuyler,1995,"19,128"
Schuyler,1996,"19,089"
Schuyler,1997,"19,023"
Schuyler,1998,"19,143"
Schuyler,1999,"19,117"
Schuyler,2000,"19,232"
Schuyler,2001,"19,175"
Schuyler,2002,"19,179"
Schuyler,2003,"19,151"
Schuyler,2004,"19,034"
Schuyler,2005,"18,880"
Schuyler,2006,"18,752"
Schuyler,2007,"18,707"
Schuyler,2008,"18,644"
Schuyler,2009,"18,398"
Schuyler,2010,"18,346"
Schuyler,2011,"18,446"
Schuyler,2012,"18,549"
Schuyler,2013,"18,455"
Schuyler,2014,"18,267"
Schuyler,2015,"18,140"
Schuyler,2016,"18,098"
Schuyler,2017,"18,052"
Schuyler,2018,"18,003"
Schuyler,2019,"17,993"
Schuyler,2020,"17,863"
Schuyler,2021,"17,790"
Schuyler,2022,"17,591"
Schuyler,2023,"17,441"
Schuyler,2024,"17,141"
Seneca,1990,"33,710"
Seneca,1991,"33,768"
Seneca,1992,"33,518"
Seneca,1993,"32,871"
Seneca,1994,"32,702"
Seneca,1995,"32,698"
Seneca,1996,"33,500"
Seneca,1997,"33,362"
Seneca,1998,"33,184"
Seneca,1999,"33,231"
Seneca,2000,"33,343"
Seneca,2001,"34,764"
Seneca,2002,"35,046"
Seneca,2003,"35,212"
Seneca,2004,"35,312"
Seneca,2005,"35,177"
Seneca,2006,"35,223"
Seneca,2007,"35,469"
Seneca,2008,"35,370"
Seneca,2009,"35,286"
Seneca,2010,"35,265"
Seneca,2011,"35,294"
Seneca,2012,"35,299"
Seneca,2013,"35,165"
Seneca,2014,"34,788"
Seneca,2015,"34,687"
Seneca,2016,"34,575"
Seneca,2017,"34,119"
Seneca,2018,"34,078"
Seneca,2019,"33,966"
Seneca,2020,"33,445"
Seneca,2021,"33,237"
Seneca,2022,"32,676"
Seneca,2023,"32,449"
Seneca,2024,"32,671"
St Lawrence,1990,"112,158"
St Lawrence,1991,"113,052"
St Lawrence,1992,"114,054"
St Lawrence,1993,"114,867"
St Lawrence,1994,"114,495"
St Lawrence,1995,"114,317"
St Lawrence,1996,"113,888"
St Lawrence,1997,"112,867"
St Lawrence,1998,"112,261"
St Lawrence,1999,"112,202"
St Lawrence,2000,"111,864"
St Lawrence,2001,"111,497"
St Lawrence,2002,"111,292"
St Lawrence,2003,"111,329"
St Lawrence,2004,"111,468"
St Lawrence,2005,"111,606"
St Lawrence,2006,"111,556"
St Lawrence,2007,"111,586"
St Lawrence,2008,"111,684"
St Lawrence,2009,"112,169"
St Lawrence,2010,"111,850"
St Lawrence,2011,"112,432"
St Lawrence,2012,"112,645"
St Lawrence,2013,"112,339"
St Lawrence,2014,"111,962"
St Lawrence,2015,"110,999"
St Lawrence,2016,"110,221"
St Lawrence,2017,"109,597"
St Lawrence,2018,"109,477"
St Lawrence,2019,"108,824"
St Lawrence,2020,"108,182"
St Lawrence,2021,"107,563"
St Lawrence,2022,"106,900"
St Lawrence,2023,"106,607"
St Lawrence,2024,"106,168"
Steuben,1990,"99,286"
Steuben,1991,"99,835"
Steuben,1992,"100,232"
Steuben,1993,"100,550"
Steuben,1994,"100,634"
Steuben,1995,"99,950"
Steuben,1996,"99,212"
Steuben,1997,"98,907"
Steuben,1998,"98,657"
Steuben,1999,"98,458"
Steuben,2000,"98,764"
Steuben,2001,"99,216"
Steuben,2002,"99,583"
Steuben,2003,"99,191"
Steuben,2004,"98,983"
Steuben,2005,"98,868"
Steuben,2006,"98,473"
Steuben,2007,"98,541"
Steuben,2008,"98,726"
Steuben,2009,"98,949"
Steuben,2010,"98,938"
Steuben,2011,"98,960"
Steuben,2012,"98,620"
Steuben,2013,"98,417"
Steuben,2014,"97,618"
Steuben,2015,"96,889"
Steuben,2016,"96,189"
Steuben,2017,"95,467"
Steuben,2018,"94,839"
Steuben,2019,"94,165"
Steuben,2020,"93,371"
Steuben,2021,"93,060"
Steuben,2022,"92,427"
Steuben,2023,"92,078"
Steuben,2024,"91,939"
Suffolk,1990,"1,322,686"
Suffolk,1991,"1,326,777"
Suffolk,1992,"1,336,663"
Suffolk,1993,"1,346,667"
Suffolk,1994,"1,354,011"
Suffolk,1995,"1,361,391"
Suffolk,1996,"1,368,366"
Suffolk,1997,"1,377,203"
Suffolk,1998,"1,390,729"
Suffolk,1999,"1,406,161"
Suffolk,2000,"1,424,081"
Suffolk,2001,"1,442,488"
Suffolk,2002,"1,456,745"
Suffolk,2003,"1,470,849"
Suffolk,2004,"1,478,215"
Suffolk,2005,"1,477,687"
Suffolk,2006,"1,475,626"
Suffolk,2007,"1,475,255"
Suffolk,2008,"1,480,218"
Suffolk,2009,"1,487,206"
Suffolk,2010,"1,495,577"
Suffolk,2011,"1,505,124"
Suffolk,2012,"1,508,218"
Suffolk,2013,"1,513,565"
Suffolk,2014,"1,516,702"
Suffolk,2015,"1,518,120"
Suffolk,2016,"1,517,810"
Suffolk,2017,"1,519,947"
Suffolk,2018,"1,523,333"
Suffolk,2019,"1,524,358"
Suffolk,2020,"1,521,964"
Suffolk,2021,"1,533,742"
Suffolk,2022,"1,531,736"
Suffolk,2023,"1,533,173"
Suffolk,2024,"1,543,330"
Sullivan,1990,"69,545"
Sullivan,1991,"70,347"
Sullivan,1992,"71,416"
Sullivan,1993,"72,145"
Sullivan,1994,"72,152"
Sullivan,1995,"72,379"
Sullivan,1996,"72,758"
Sullivan,1997,"72,712"
Sullivan,1998,"72,974"
Sullivan,1999,"73,341"
Sullivan,2000,"74,134"
Sullivan,2001,"74,143"
Sullivan,2002,"74,452"
Sullivan,2003,"75,447"
Sullivan,2004,"76,265"
Sullivan,2005,"76,780"
Sullivan,2006,"77,231"
Sullivan,2007,"77,991"
Sullivan,2008,"77,755"
Sullivan,2009,"77,647"
Sullivan,2010,"77,551"
Sullivan,2011,"77,416"
Sullivan,2012,"77,579"
Sullivan,2013,"77,879"
Sullivan,2014,"76,858"
Sullivan,2015,"76,341"
Sullivan,2016,"76,688"
Sullivan,2017,"77,059"
Sullivan,2018,"77,723"
Sullivan,2019,"78,177"
Sullivan,2020,"78,461"
Sullivan,2021,"79,745"
Sullivan,2022,"79,868"
Sullivan,2023,"80,413"
Sullivan,2024,"80,901"
Tioga,1990,"52,479"
Tioga,1991,"52,812"
Tioga,1992,"53,111"
Tioga,1993,"53,237"
Tioga,1994,"53,259"
Tioga,1995,"52,601"
Tioga,1996,"52,287"
Tioga,1997,"52,160"
Tioga,1998,"52,163"
Tioga,1999,"51,892"
Tioga,2000,"51,838"
Tioga,2001,"51,712"
Tioga,2002,"51,992"
Tioga,2003,"51,895"
Tioga,2004,"51,631"
Tioga,2005,"51,611"
Tioga,2006,"51,536"
Tioga,2007,"51,565"
Tioga,2008,"51,498"
Tioga,2009,"51,236"
Tioga,2010,"51,023"
Tioga,2011,"50,946"
Tioga,2012,"50,399"
Tioga,2013,"50,276"
Tioga,2014,"50,048"
Tioga,2015,"49,629"
Tioga,2016,"49,142"
Tioga,2017,"48,989"
Tioga,2018,"48,891"
Tioga,2019,"48,641"
Tioga,2020,"48,352"
Tioga,2021,"48,097"
Tioga,2022,"47,724"
Tioga,2023,"47,606"
Tioga,2024,"47,545"
Tompkins,1990,"94,241"
Tompkins,1991,"95,283"
Tompkins,1992,"95,685"
Tompkins,1993,"96,122"
Tompkins,1994,"96,409"
Tompkins,1995,"96,870"
Tompkins,1996,"96,298"
Tompkins,1997,"96,216"
Tompkins,1998,"96,036"
Tompkins,1999,"96,656"
Tompkins,2000,"96,608"
Tompkins,2001,"97,458"
Tompkins,2002,"98,227"
Tompkins,2003,"99,049"
Tompkins,2004,"99,531"
Tompkins,2005,"99,433"
Tompkins,2006,"99,651"
Tompkins,2007,"99,910"
Tompkins,2008,"100,383"
Tompkins,2009,"101,497"
Tompkins,2010,"101,852"
Tompkins,2011,"102,410"
Tompkins,2012,"103,790"
Tompkins,2013,"105,097"
Tompkins,2014,"105,399"
Tompkins,2015,"105,495"
Tompkins,2016,"105,790"
Tompkins,2017,"105,919"
Tompkins,2018,"106,009"
Tompkins,2019,"106,038"
Tompkins,2020,"105,508"
Tompkins,2021,"102,567"
Tompkins,2022,"104,177"
Tompkins,2023,"104,453"
Tompkins,2024,"104,394"
Ulster,1990,"166,049"
Ulster,1991,"168,869"
Ulster,1992,"170,872"
Ulster,1993,"172,594"
Ulster,1994,"172,252"
Ulster,1995,"172,362"
Ulster,1996,"173,205"
Ulster,1997,"174,148"
