County,Year,Population
Chautauqua,1997,"141,531"
Chautauqua,1998,"140,784"
Chautauqua,1999,"140,087"
Chautauqua,2000,"139,593"
Chautauqua,2001,"138,730"
Chautauqua,2002,"138,346"
Chautauqua,2003,"137,587"
Chautauqua,2004,"137,174"
Chautauqua,2005,"136,139"
Chautauqua,2006,"135,640"
Chautauqua,2007,"135,481"
Chautauqua,2008,"135,229"
Chautauqua,2009,"135,197"
Chautauqua,2010,"134,760"
Chautauqua,2011,"134,400"
Chautauqua,2012,"133,644"
Chautauqua,2013,"133,333"
Chautauqua,2014,"132,379"
Chautauqua,2015,"131,307"
Chautauqua,2016,"130,173"
Chautauqua,2017,"129,425"
Chautauqua,2018,"128,655"
Chautauqua,2019,"127,913"
Chautauqua,2020,"127,383"
Chautauqua,2021,"126,549"
Chautauqua,2022,"125,558"
Chautauqua,2023,"125,061"
Chautauqua,2024,"124,697"
Chemung,1990,"95,292"
Chemung,1991,"95,001"
Chemung,1992,"94,954"
Chemung,1993,"94,711"
Chemung,1994,"94,132"
Chemung,1995,"93,675"
Chemung,1996,"92,972"
Chemung,1997,"92,162"
Chemung,1998,"91,791"
Chemung,1999,"91,284"
Chemung,2000,"91,094"
Chemung,2001,"90,780"
Chemung,2002,"90,613"
Chemung,2003,"90,154"
Chemung,2004,"89,777"
Chemung,2005,"88,860"
Chemung,2006,"88,732"
Chemung,2007,"88,634"
Chemung,2008,"88,503"
Chemung,2009,"88,849"
Chemung,2010,"88,927"
Chemung,2011,"89,074"
Chemung,2012,"89,448"
Chemung,2013,"88,643"
Chemung,2014,"87,779"
Chemung,2015,"87,438"
Chemung,2016,"86,486"
Chemung,2017,"85,747"
Chemung,2018,"85,081"
Chemung,2019,"84,580"
Chemung,2020,"83,652"
Chemung,2021,"83,061"
Chemung,2022,"81,535"
Chemung,2023,"81,090"
Chemung,2024,"80,837"
Chenango,1990,"51,813"
Chenango,1991,"52,160"
Chenango,1992,"52,341"
Chenango,1993,"52,552"
