County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Population,Index_Total_Rate,Property_Total_Rate,Violent_Total_Rate,Murder_Rate,Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,Burglary_Rate,Larceny_Rate,Motor_Vehicle_Theft_Rate
Albany,2013,18912,2010,18,94,586,1312,16902,2406,13996,500,310132,6098.048572865748,5449.937445990739,648.111126875008,5.803980240671714,30.30967459017451,188.9518011685347,423.04567087562714,775.7986921697858,4512.917080468962,161.22167335199205
Albany,2014,18372,2006,28,92,632,1254,16366,2258,13642,466,311784,5892.540989916096,5249.146845251841,643.3941446642547,8.980576296410336,29.507607831062533,202.70443640469043,402.20152413209144,724.2193313319477,4375.465065558206,149.46244836168628
Albany,2015,17288,2082,12,190,578,1302,15206,1880,12884,442,313127,5521.082500071856,4856.176567335298,664.9059327365574,3.8323108515075357,60.67825514886931,184.58963934761294,415.8057273885676,600.3953667361804,4114.624417568591,141.15678303052755
Albany,2016,17540,2198,10,214,586,1388,15342,1798,13112,432,314486,5577.354794808036,4878.436559974053,698.9182348339831,3.179791787233772,68.04754424680272,186.33579873189905,441.35510006804753,571.7265633446323,4169.342991420922,137.36700520849897
Albany,2017,17586,2326,16,232,628,1450,15260,1576,13230,454,315662,5571.14888710076,4834.284772953349,736.8641141474108,5.068712737041519,73.49633468710202,198.94697492887963,459.35209179438766,499.26820459858965,4191.191844441206,143.8247239135531
Albany,2018,16700,2192,30,238,516,1408,14508,1488,12564,456,315501,5293.168642888612,4598.400638983711,694.7680039049005,9.508686184829841,75.43557706631674,163.54940237907329,446.27433827468053,471.63083476756015,3982.237774206738,144.5320300094136
Albany,2019,16008,1994,16,258,466,1254,14014,1492,12032,490,314630,5087.881003082986,4454.120713218701,633.760289864285,5.085338333916028,82.00108063439596,148.11047897530435,398.5633919206687,474.2077996376696,3824.1744271048533,155.73848647617837
Albany,2020,14816,2198,34,216,428,1520,12618,1434,10326,858,314293,4714.07253740936,4014.7251131905577,699.3474242188022,10.817931038871372,68.72567954106519,136.1786613128514,483.62515232601424,456.26215028651615,3285.469291393699,272.99367151034227
Albany,2021,15806,2296,42,212,420,1622,13510,1346,11166,998,316195,4998.814022992141,4272.679833646958,726.1341893451826,13.282942488021632,67.04723351096634,132.82942488021632,512.9745884659783,425.6866806875504,3531.3651386011793,315.6280143582283
Albany,2022,19720,2566,34,266,622,1644,17154,1812,13792,1550,315764,6245.170443749129,5432.538224750129,812.6322189989993,10.767535247843325,84.24012870371544,196.98255659289848,520.6419984545421,573.8462902674148,4367.819004066328,490.8729304163869
Albany,2023,19660,2708,38,246,610,1814,16952,1608,14154,1190,317590,6190.371233351176,5337.699549733934,852.6716836172424,11.965112251645204,77.45835826065053,192.07153877640982,571.1766743285368,506.3131710696181,4456.689442362795,374.69693630152085
Albany,2024,18106,2602,32,268,588,1714,15504,1574,13068,862,319702,5663.399040356332,4849.5161118791875,813.8829284771442,10.0093211803492,83.82806488542455,183.92127668891655,536.124265722454,492.3334855584263,4087.5565370251047,269.6260892956566
Allegany,1990,2560,292,0,14,6,272,2268,758,1470,40,50522,5067.099481414038,4489.133446815249,577.9660345987886,0.0,27.710700288983016,11.87601440956415,538.3793199002415,1500.3364870749376,2909.6235303432168,79.17342939709434
Allegany,1991,2834,268,2,18,6,242,2566,850,1648,68,50935,5563.954059094925,5037.793265927163,526.1607931677628,3.926573083341514,35.339157750073625,11.779719250024542,475.1153430843232,1668.7935604201432,3235.4962206734076,133.50348483361145
Allegany,1992,2756,322,0,20,4,298,2434,848,1528,58,50967,5407.420487766594,4775.639139050759,631.7813487158357,0.0,39.2410775599898,7.848215511997959,584.692055643848,1663.8216885435675,2998.0183255832208,113.79912492397041
